"","libro","autore","data","recensione","stelle"
"11","157996.Flight_to_Arras","Edita","Jun 22, 2013","When chance awakens love, everything takes it place in a man in obedience to that love, and love brings him the sense of distance. When, in the Sahara, the Arabs would surge up in the night round our campfires and warn us of a coming danger, the desert would spring to life for us and take on meaning. Those messengers had lent it distance. Music does something like this. The humble odor of an old cupboard does it when it awakens and brings memories to life. Pathos is the sense of distance.But I know that nothing which truly concerns man is calculable, weighable, measurable. True distance is not the concern of the eye; it is granted only to the spirit. Its value is the value of language, for it is language which binds things together.And now it seems to me that I begin to see what a civilization is. A civilization is a heritage of beliefs, customs, and knowledge slowly accumulated in the course of centuries, elements difficult at times to justify by logic, but justifying themselves as paths when they lead somewhere, since they open up for man his inner distance.There is cheap literature that speaks to us of the need of escape. It is true that when we travel we are in search of distance. But distance is not to be found. It melts away. And escape has never led anywhere.","liked it"
"12","157996.Flight_to_Arras","Francielli Camargo","Mar 28, 2019",NA,"really liked it"
"13","157996.Flight_to_Arras","Susan","Feb 19, 2019","As French forces retreat before the German invasion in WWII, a pilot in the outnumbered French Air Force writes of flying a mission he did not expect to survive and his thoughts afterwards.“The fact that we had been sent for meant that we were to be ordered out on a sortie. We had reached the last days of May, 1940, a time of full retreat, of full disaster. Crew after crew was being offered up as a sacrifice. It was as if you dashed glassfuls of water into a forest fire in the hope of putting it out.”“You might think that in retreat and disaster there ought to be such a flood of pressing problems that one could hardly decide which to tackle first. The truth is that for a defeated army the problems themselves vanish. I mean by this that a defeated army no longer has a hand in the game. What is one to do with a plane, a tank, in short a queen of spades, that is not part of any known game? You hold the card back; you hesitate; you rack your brains to find use for it—and then you fling it down on the chance that it may take a trick.”“Here too everything was frozen. My controls were frozen. My machine-guns were frozen. And when I had asked the gunner about his, the answer had come back, “Nothing doing, sir.”Into the exhaust pipe of my mask I spat icicles fine as needles. From time to time I had to crush the stopper of frost that continued to form inside the flexible rubber, lest it suffocate me. When I squeezed the tube I felt it grate in my palm.“Gunner! Oxygen all right?”“Yes, sir.”“What’s the pressure in the bottles?”“Er ... seventy. Falling, sir.””","really liked it"
"14","157996.Flight_to_Arras","Gumble's Yard - Golden Reviewer","Apr 01, 2017","Short autobiographical novel by the author of “The Little Prince”, set during (and published only 2 years after) his service as a reconnaissance pilot for the French during the 1940 German invasion which service the majority of his fellow flyers did not survive. The book’s action takes place on a single reconnaissance mission low over the occupied town of Arras to gather intelligence which due to the breakdown of the French infrastructure will and can never be used. While flying and even under heavy attack (an apparent habit that the author had of losing concentration at the controls of the plane) the narrator muses philosophically on the reason for the mission (given its seeming futility), the French war effort and then the reasons for war. After escaping what seemed certain death he is overtaken by a form of euphoria and a renewed believe in the importance of community (both of France and of the squadron). After landing meditates at some length on how France is based on a humanist development of Christianity – substituting the ideal of Man for God in areas such as equality, respect, charity, self-respect, brotherhood and most importantly sacrifice – but that the abstractness of Man meant the ideal (although to be believed in) was easily corrupted into anarchism, tyranny of the masses or the fascist state. This last section is well written and well expressed albeit it doesn’t sit so well with the first part of the novel and can seem overblown rhetoric.The value of the book is in its immediacy and also importance – forming an immediate examination of the French defeat (well before the final outcome was known) and it seems being very important in restoring respect for France both internally and externally (including swaying American public opinion – where the book was written – behind intervention in the European war).","liked it"
"15","157996.Flight_to_Arras","Lily","Oct 06, 2012","A beautiful work, as always. But this felt more personal than any of the other Saint-Exupery's works I've read, probably because it was. He remembers his experiences while being a pilot in the war (hence, the original title ""Pilote de Guerre"", which, I'll admit, I like better than the English version), and the book is filled with his thoughts and ideas, portraying the war and the people in it with perfect eloquence.I have read many books about wars, from many perspectives: WWI Latvian, WWI German, WWI Indian, WWII German, WWII English, WWII Japanese, WWII Italian, WWII French, not to mention some of the other wars. What they all had in common was the war itself - no matter which one, no matter from which perspective, war is always the same. It changes people, especially the soldiers who are in the very heat of it. No matter how beautiful are the words Saint-Exupery uses, no matter in how many pages he talks about their innate calling to defend and, if needed, die for their land, war is still the worst thing humanity has devised.Starting as his search of himself in the midst of a suicide mission, ending with a poetic essay about humanity, this book is unique and yet another same old war story. And it made me understand and like Saint-Exupery more than I did before, even while reading his biography. (I didn't finish it because I always got annoyed at how arrogant he was portrayed.)","really liked it"
"16","157996.Flight_to_Arras","Tatiana Dengo","Dec 21, 2013","Not real close to what I enjoy in my favorite Saint-Exupery writings, but didn't disappoint either. While I do enjoy existentialism, here it takes a turn for the vague after a certain point, where a lot of what he says could be applied in many situations, and not exclusively his. Having the general context helps a lot, but one could probably gain much more insight from this by doing some deeper historical research. ","really liked it"
"17","157996.Flight_to_Arras","Aurimas Novikovas","Jan 04, 2015","intimidating, philosophical and poetic. allegories inside. a true Exuperian style and truly not a page turner. reading this piece is a painful experience, one goes through the most intimate of thoughts, memories and desires which is inconvenient itself, not to mention the context of the story. pain is sweeter now. you`re the pilot, you`re meaningless surviror heading nowhere but to the next chapter of... of what?","really liked it"
"18","157996.Flight_to_Arras","Al","Mar 29, 2021"," After flying international airmail during the 30s, Saint-Exupery flew reconnaissance for France in WWII. Flight to Arras is nominally about a particular flight made over enemy-held territory while Hitler's forces were in the process of overrunning France. The details of that flight are frightening, but the real power of the book lies in Saint Exupery's meditations on the tragedy and uselessness of the conflict, doomed as it is, and then on his further thoughts, beautifully expressed, on the state of mankind and what it means to him to be a part of it. I won't try to be more descriptive, because whatever I would write would only diminish what he has written. All I can safely say is that his is the work of an extraordinary philosopher humanist, and is poetry in prose form. Don't miss it.","it was amazing"
"19","157996.Flight_to_Arras","James Easterson","Dec 28, 2018",NA,"it was amazing"
"20","157996.Flight_to_Arras","Pam","Mar 30, 2021",NA,"it was amazing"
"21","157996.Flight_to_Arras","Evelyn Amaral Garcia","Sep 24, 2021",NA,"really liked it"
