"","libro","autore","data","recensione","stelle"
"11","8842.Night_Flight","Othy","Jan 25, 2010","Deeply hopeful and yet delicately sad, Night Flight is a tale of man's (and, in my opinion, Saint-Exupery's) encounter with the great, unknown and dark forces of existence. To the edge of deep and true meaning he comes, though in my opinion stops before coming to the beautiful connection between the meaning encountered upon the journey and the meaning inherent in the world itself. Still, the force of will, life, and human spirit, and the beauty that he finds in the human desire to continue on even when all hope is lost is a type of strength rarely explored so well. As a writer, Saint-Exupery deserves five stars, though the message of the book, albeit strong and powerful, in my opinion stops short of grasping the fullness of meaning in the human journey. Sad, I thought, especially since his writing seems to examine and illuminate such meaning and reminds me again of the beauty of it all. ","really liked it"
"12","8842.Night_Flight","Rhys","Jul 10, 2018","One of my three favourite novels (the other two are Froth on the Daydream by Boris Vian and The Non-Existent Knight by Italo Calvino) and this is the second time I have read it. The first time was on a flight from Thessaloniki to London three years ago. I rarely read books twice. I even more rarely read them three times, but I suspect that this will become one of those select thrice-read classics in my life. I bought this edition because it is so nicely produced. I love the texture of the book, the cover artwork and the interior layout, all very satisfying. They serve well the excellence of the text, which is a beautiful, poignant, heady story about bravery, loss and determination. The prose is luminous, breathtaking, touching and yet muscular and noble. I bought this edition after one of the most enjoyable flights of my life, from London to Aberdeen. It is a novel about flying that for me will forever be associated with the miracle of flight.","it was amazing"
"13","8842.Night_Flight","Balu","Jul 20, 2020",NA,"really liked it"
"14","8842.Night_Flight","Marieke","Dec 02, 2021","Kate Jones... I hope you're okay. Your annotations in this book did make the reading experience a lot more interesting, though ""we're prisoners"" and ""they have no control"" did make me wonder whether you were talking about the book or yourself.Anyhow, Night Flight is said to be a novel about airplanes and tragedy, though I thought it was more about duty and boring old men. Don't get me wrong, I did enjoy this novel, but it's no great flying adventure such as Wind, Sand & Stars by Antoine de Saint-Exupéry. If anything, it's more of a dive into the head of the chief who supervises the pilots and makes sure the mail gets everywhere in time. It wasn't really a head I ever aspired to be in and I would like to stay out of it from now on. All his talk about duty and action made me want to grab his shoulders and shake him. The contrast between individual happiness on the one hand and duty on the other was very interesting, as our western society has started to discard or devalue the 'duty' side and value the 'individual happiness' side instead. Not a bad development I think. But interesting nonetheless to have a one time look into the mind of someone who sees duty as something holy. Yes, I think this is where I should put an end to these scattered thoughts. Read this is you like Antoine de Saint-Exupéry and worship every morsel he has ever written. Don't read this if you'd like a great adventure novel about flying- opt for Wind, Sand & Stars instead, or, of course, le Petit Prince.","liked it"
"15","8842.Night_Flight","Andriana","Apr 18, 2022",NA,"really liked it"
"16","8842.Night_Flight","Dale","Aug 07, 2014","Night Flight is a splendid novella about the hazards of flight in its early days, and about a certain philosophy of command. The principal character is Rivière, the managing director of the air mail service in South America. He presents himself as harsh and unfair - denying punctuality bonuses to pilots who are unable to fly on time owing to weather, for example - but tells himself, honestly perhaps, that his harshness is meant only to make his men better versions of themselves.He has initiated a program of night flights to speed the mail from across South America to Buenos Aires, and thence to Europe. The story takes place on a single night, and follows the progress of Fabien, a pilot delivering the mail from Patagonia to Buenos Aires. His flight starts like any other, but he soon finds himself surrounded by storms, with no way back and apparently no way forward. As Fabien and his wireless operator are engulfed in the storms, Rivière monitors their progress, and reflects on the choices he has made, and their consequences.Rivière believes that in the pursuit of progress and of high aims, the lives of individuals must take second place. At a certain point he is led to question that belief, but in the end we are left with the impression that he has reaffirmed his belief and is unlikely to change his position. Whether the owners of those individual lives would agree is a question, of course.The novel was made into an excellent film in 1933 starring John Barrymore as Rivière and Clark Gable as Fabien. The movie was out of circulation from 1942 until 2011 owing to Saint-Exupéry withdrawing the author rights he had granted to MGM for 10 years. And it is certainly true that the movie was different from the novel in fundamental ways; necessarily so, I think, since a very large part of the novel takes place inside Rivière's head.","really liked it"
"17","8842.Night_Flight","Eddie Watkins","Apr 12, 2011","Looking for a quick resurrection of an old thrill to jumpstart some recent doldrums I pulled this thin paperback off my shelf, read it in a few hours, and found my doldrums dissipated for all the wrong reasons. The very disparity between my old thrill and my new disparagement was enough to lift my spirits backhandedly; via a via negativa as it were, a route of moulds and dogs' ears and foxing. Old thrills... it rarely pays to chase 'em, and freshly heightened spirits attained by traipsing through spoilage is a worm-eaten fix.So I liked this so much the first time, but that was years ago... before I had seen Howard Hawks' Only Angels Have Wings a dozen times. Hawks' movie is a total rip-off of the book, though I don't see that indicated anywhere in all the movie info. Maybe night flying mail carriers in the early days of commercial aviation were just ""in the air"" in the 1930's.The film is brisk and richly imagined, highly entertaining and punctuated by song (Cary Grant joyously bellowing as Jean Arthur hammers dive bar ivories). The book, even for its thinness, is bloated, though the thrilling story does try to rear its demonic head Loch Ness Monster-like through a thick fog of ""soul-stirring"" verbiage, and for that obscured hint of thrills, and my inexpungeable film version memories, I give it 3 stars.Check out the Hawks instead!P.S. (I still like The Little Prince)","liked it"
"18","8842.Night_Flight","Rosie Nguyễn","Feb 03, 2017","I have always loved Exupery's writing, from The Little Prince, to Wind, Sand and Stars, and now, Night Flight. Reading his poetic and lyrical prose is like being in a stream, gently flowing down in its pure and fresh water. The beauty of his writing is beyond my ability to describe, something similar to the feeling of flying and singing at the same time. A nourishment of the soul. And his heroic life, a writer, an inventor, a pilot, dying so young in a flight. Every time I read his book, I just wanna embrace the book in my hands with the admiration for a great man. Exupery là thần tượng của mình. Luôn yêu mến văn chương của ông, từ Hoàng Tử Bé, đến Xứ Con Người, và bây giờ, một câu chuyện nên thơ trong Bay Đêm. Những tác phẩm của ông đầy nên thơ và trữ tình, nhẹ nhàng tinh tế nhưng gợi lên những suy nghĩ sâu xa, luôn khiến ta thấy cuộc đời thật đẹp và có rất nhiều điều tốt lành. Không chỉ thích văn của Exupery, mà còn ngưỡng mộ cuộc đời ông, một con người luôn hành động, luôn tạo ra cái gì đó, những phát minh mới, những quyển sách, và một phi công với những cuộc dấn thân tiên phong thiết lập những đường bay mới mở đường cho sự phát triển của hàng không thương mại. Để rồi hy sinh trong khi đang làm nhiệm vụ trong một chuyến bay đưa thư. Một con người đáng quý. Một cuộc đời đáng sống.","really liked it"
"19","8842.Night_Flight","Peter Colclasure","Nov 28, 2018","Readers looking for some sort of analogue to The Little Prince will be sorely disappointed. Night Flight is a very short novel about the air mail service in South America in 1932. On this particular night, one plane gets lost in a storm and crashes, and the Buenos Aires station chief waxes philosophical about Duty vs. Love and Happiness. This book is only 87 pages (with 14 point font), but still felt ponderous and melodramatic to me. Describing the patchy radio transmissions from a lost plane:""Under the leaden weight of the sky the golden music of the waves was tarnished. Lament in the minor of a plane sped arrowwise against the blinding barriers of darkness, no sadder sound than this!""Apparently the book is much better in the original French, and the English translation I read is considered shoddy. The book did make me realize how much I take for granted the ability of airline pilots to land in a rainstorm or thick fog. Modern technology makes this miracle routine. Here's a quote I like:""We do not pray for immortality, but only not to see our acts and all things stripped suddenly of all their meaning; for then it is the utter emptiness of everything reveals itself.""","it was ok"
"20","8842.Night_Flight","Adam Dalva","Jul 14, 2014","Interesting little book with some gorgeous paragraphs and thought. It is much better in the air than on the ground - the prevailing theme when not in flight is a question of what it is to be a leader, of permanent works vs. temporary compassion. That's all fine and good but it doesn't spark. What does, I think, is A.d.S.-E.'s description of nuances of flight:""A single radio post still heard him. The only link between him and the world was a wave of music, a minor modulation. Not a lament, no cry, yet purest of sounds that ever spoke despair.""and even better:""They think, these peasants, that their lamp shines only for that little table; but from fifty miles away, some one has felt the summons of their light, as though it were a desperate signal from some lonely island, flashed by shipwrecked men toward the sea.""I wish there had been more like that, and I also would have liked a greater focus on logistics (1930's South American flying is interesting, after all). As is, it's a good sequence of snapshots and not much more. ","liked it"
"21","8842.Night_Flight","Mihai","Feb 20, 2013","Paperback was sitting on my shelf, I picked it up to fill in time and actually struggled to finish it despite its small size. Maybe it was the old clunky English translation that affected me, but I just couldn't develop any appreciation for the work. The characters were unnecessarily introspective, the author's philosophical ramblings too abstract. A few descriptive sections providing some beautiful imagery, other than that I simply couldn't wait to toss the book back on a (lower) shelf and forget about it.","did not like it"
"22","8842.Night_Flight","Gabriela","Sep 11, 2011",NA,"it was ok"
"23","8842.Night_Flight","Noah Goats","Feb 21, 2017",NA,"really liked it"
"24","8842.Night_Flight","Nat","Jun 25, 2007","Saint Exupery is great when he's describing what it's like to fly an airplane. The administrative scenes don't work as well. The central character Riviere is in charge of an experimental night airmail service in South America, but his feet never leave the ground. He does nicely characterize his ""enemy"", the wife of one of his pilots, who represents the world of ""human happiness"", ""a self-coherent world...where a lamp shines at nightfall on the table...sheets turned back on the bed, the coffee on the table, a vase of flowers"". I like that world. That world is always ""at war"" with the world of action, which Riviere represents. He thinks that the world of human happiness is less valuable than the world of action because the world of happiness is inevitably destroyed by old age and death, whereas the world of action creates things (like the Aztec pyramids or the feats of brave pilots) that have ""a higher value than human life"". I find that claim a little unconvincing, since the monuments to the world of action eventually succumb to forgetfulness and decay, even if it takes longer. ","liked it"
"25","8842.Night_Flight","Stephanie Ricker","May 20, 2012","I find that reading books about plane crashes while physically in a plane really enhances the flying experience. I told my mother that and she thought I was being facetious, but I was just being honest. I read Night Flight by Antoine de Saint-Exupery (author of The Little Prince) on the way to Michigan and Wind, Sand, and Stars by the same author on the way back, both of which include plane disasters. Both were exquisite, though not at all in the same way as The Little Prince, and both are about Saint-Exupery’s experiences as a pilot for the night-mails in South America and Africa during the 1920s and 1930s. Flying was still a perilous business then, and reading about the sort of men who chose that career was utterly fascinating. Perhaps there’s a bit of the philosopher in all pilots, or perhaps Antoine was just of a particularly thoughtful bent, but either way his musings on humanity and life and death were all very thought-provoking.","liked it"
"26","8842.Night_Flight","Amerynth","Jul 26, 2012","Antoine de Saint Exupery's ""Night Flight"" is the story of one night in the lives of the pilots and ground grew who flew the mail across the Andes from Patagonia, Chile and Paraguay to Argentina so it could be packed on another plane for Europe. The flights were fraught with danger as sudden storms, cyclones push the planes toward the craggy mountains below. The whole operation is overseen by Riviere, a no-nonsense boss whose primary concern is not the safety of the pilots, but the ability to get the mail in on time.I found this little book to be okay -- it was an interesting story and a very quick read. However, it really pales in comparison to Saint Exupery's incredible ""Wind, Sand and Stars,"" which is one of the finest books about flying I've ever read, and a fantastic adventure novel besides. This story is just not as interesting unfortunately.","liked it"
"27","8842.Night_Flight","Kelly","May 11, 2009","This is the author who wrote ""The Little Prince"". This book, about the pilots who flew mail planes in South American during the 1930's, is written in an older style, and I wondered how much the english translation compared to the original french. I understand there are two english translations; those would be fun to compare too.This translation, done by Andre Gide, contains beautiful language and wonderfully crafted scenes. The drama was a little over the top, but I got into it. Sort of like listening to a Noir detective show or Edward R. Murrow on the radio. ","liked it"
"28","8842.Night_Flight","Boris Gregoric","Aug 05, 2012","It's the early 1930's, flying back and forth over the Cordillera, delivering air mail — what is there not to like? Of course, the beautifully poetic and evocative French that St. Exupéry honed to perfection, makes it even more memorable. Pour moi, si je pouvais vivre dans un livre, LE VOL DE NUIT serait il..","really liked it"
"29","8842.Night_Flight","Ghostcat","Aug 20, 2015","This was my first time reading St Exupery and almost feel ashamed because I didn't like this book and his writing style. I even found some parts quite bad and the constant use of comas is slowing the reading path. The story's meaning itself is a powerful memory of an era but it didn't ring any bell to me.","did not like it"
"30","8842.Night_Flight","Anna","Sep 01, 2008","I like Antoine de Saint-Exupéry's works. Night flight about beginnings of commercil aviation is great as the author himself was a pilot. ","really liked it"
